SE270,SE131,TF14,SE605,SE080,SE475,SE450,SE600,SE011,SE446,SE460,SE455,SE025,SE480,SE380,SE441,SE370,YEAR,SE281,SE136,SE375,SE420,SE206,FADN_2012_,SE132,SE256,SE360,SE207,SE470,SE336,REGION,SE135
75459.0,95076.0,(16) Specialist other fieldcrops,11017.0,10.78,3770.0,36637.0,10876.0,3489.41,211629.0,6799.0,51564.0,45.57,37668.0,4407.0,306629.0,1528.0,2004,29362.0,1834.6676120000002,9036.0,28678.0,6743.0,341,1.2599639790000001,7079.0,12757.0,625.7098474,6712.0,18369.0,(0341) Vlaanderen,81254.0
182545.0,218473.0,(20) Specialist horticulture,2637.0,0.47,27806.0,125881.0,927.0,7919.92,82611.0,402.0,54621.0,5.76,56288.0,6666.0,263515.0,34082.0,2004,55363.0,38394.557073,2810.0,36219.0,338.0,341,1.1968181562,1731.0,29320.0,713.93023935,384.0,54303.0,(0341) Vlaanderen,216403.0
131909.0,174404.0,(36) Specialist orchards - fruits,3411.0,0.41,496.0,106169.0,4136.0,7975.27,232251.0,275.0,49047.0,16.62,64731.0,4714.0,387742.0,36561.0,2004,20919.0,10533.599044,7045.0,45116.0,572.0,341,1.3221515743,5187.0,31038.0,1395.4829354,80.0,31633.0,(0341) Vlaanderen,168645.0
96507.0,126845.0,(45) Specialist milk,11163.0,79.13,455.0,70502.0,12083.0,4451.19,190947.0,59195.0,45244.0,36.1,10069.0,6153.0,365809.0,721.0,2004,40412.0,328.06304512,6263.0,40643.0,111895.0,341,1.3143676004,3232.0,21054.0,1414.0858477,21315.0,21903.0,(0341) Vlaanderen,11718.0
90207.0,107508.0,(49) Specialist cattle,26669.0,96.21,1378.0,57204.0,26375.0,4138.82,144669.0,70328.0,36884.0,40.55,11217.0,4914.0,308967.0,95.0,2004,45741.0,457.67242834,6301.0,40930.0,87074.0,341,1.1917968508,1964.0,14115.0,905.02094274,72952.0,19041.0,(0341) Vlaanderen,18470.0
263964.0,321435.0,(50) Specialist granivores,6601.0,324.48,3243.0,132514.0,6187.0,4125.73,127355.0,35439.0,32681.0,20.09,7639.0,9375.0,327961.0,776.0,2004,196698.0,1090.4072373,3838.0,62236.0,298647.0,341,1.2177221981,1422.0,26242.0,920.40076719,66264.0,27035.0,(0341) Vlaanderen,21366.0
162832.0,200134.0,(70) Mixed livestock,10664.0,181.02,1076.0,91051.0,11255.0,4667.27,226067.0,60200.0,42762.0,34.27,12051.0,7444.0,419875.0,318.0,2004,101006.0,552.38490767,6699.0,46604.0,179047.0,341,1.2290851574,2237.0,22790.0,989.08392241,44483.0,24574.0,(0341) Vlaanderen,18850.0
151945.0,190296.0,(80) Mixed crops and livestock,18511.0,87.3,2148.0,90463.0,19778.0,5456.58,212869.0,39541.0,64639.0,48.53,39993.0,8064.0,407456.0,6898.0,2004,75304.0,2222.4111625,12689.0,55988.0,81207.0,341,1.2524045129,2653.0,22185.0,930.19862688,41335.0,26806.0,(0341) Vlaanderen,106437.0
103875.0,135649.0,(16) Specialist other fieldcrops,20104.0,15.92,7500.0,36080.0,20373.0,2625.75,222042.0,12702.0,61674.0,75.83,29309.0,7638.0,332251.0,1724.0,2004,41692.0,1598.4410965,15880.0,50268.0,13324.0,343,1.305890084,5078.0,13308.0,836.76836964,10588.0,23633.0,(0343) Wallonie,117246.0
160250.0,218702.0,(20) Specialist horticulture,3408.0,3.28,33332.0,100387.0,3115.0,8449.25,64303.0,0.0,58589.0,8.03,-2216.0,10415.0,223279.0,37632.0,2004,58257.0,25208.841119999997,1836.0,62090.0,5543.0,343,1.3647578134,12222.0,19946.0,1687.5538947999999,0.0,32164.0,(0343) Wallonie,200938.0
84270.0,112419.0,(45) Specialist milk,14828.0,83.48,1613.0,61642.0,15581.0,4814.49,172908.0,63799.0,44134.0,51.39,4556.0,7912.0,342456.0,1093.0,2004,33854.0,194.85947111,7513.0,42834.0,100869.0,343,1.334041829,1597.0,13286.0,1208.3001345,24708.0,20613.0,(0343) Wallonie,9953.0
94779.0,106654.0,(49) Specialist cattle,34277.0,124.93,2241.0,62321.0,34653.0,4792.43,136587.0,115834.0,44234.0,67.27,4232.0,7667.0,358942.0,416.0,2004,46599.0,149.18520137,6799.0,45558.0,94793.0,343,1.1252977386,1873.0,13717.0,758.7499943,78735.0,19581.0,(0343) Wallonie,9988.0
173507.0,209351.0,(50) Specialist granivores,8523.0,322.17,2576.0,141471.0,9087.0,4110.5,109609.0,23219.0,38524.0,20.92,3816.0,11661.0,312823.0,380.0,2004,115961.0,842.60265744,5112.0,44404.0,189665.0,343,1.2065889758,2196.0,20453.0,588.70594168,42051.0,19940.0,(0343) Wallonie,17491.0
120095.0,144097.0,(80) Mixed crops and livestock,27324.0,78.87,7105.0,52113.0,27358.0,4976.82,198108.0,66697.0,64752.0,70.36,19057.0,9364.0,381326.0,2277.0,2004,54823.0,1050.1690605000001,10614.0,49495.0,64840.0,343,1.1998515672,6508.0,15845.0,822.07500382,45178.0,27173.0,(0343) Wallonie,72748.0
26804.0,12511.0,(15) Specialist COP,6083.0,0.17,54.0,1551.0,5966.0,2656.34,76864.0,139.0,33528.0,33.84,12089.0,670.0,112083.0,1146.0,2004,6101.0,388.78010145,5255.0,-8327.0,231.0,740,0.4667476553,0.0,8761.0,1356.5036750999998,91.0,4872.0,(0740) Cyprus,12279.0
29118.0,27060.0,(16) Specialist other fieldcrops,5743.0,0.01,253.0,6416.0,5703.0,4493.2,85093.0,0.0,23014.0,14.9,21113.0,752.0,114523.0,5903.0,2004,7313.0,1932.3704909000003,1953.0,3644.0,2.0,740,0.9293095001,17.0,5794.0,172.00518446,0.0,7403.0,(0740) Cyprus,27041.0
8632.0,8887.0,(36) Specialist orchards - fruits,2904.0,0.05,812.0,2076.0,2841.0,2354.36,52721.0,19.0,10907.0,2.24,4792.0,127.0,65723.0,508.0,2004,1686.0,4181.1031186,59.0,3096.0,121.0,740,1.0294703539,3.0,3216.0,2622.9113365,34.0,3037.0,(0740) Cyprus,8763.0
43794.0,49657.0,(48) Specialist sheep and goats,10290.0,29.79,1506.0,19197.0,9965.0,3950.55,62765.0,25401.0,20142.0,18.47,34485.0,996.0,127505.0,2185.0,2004,26237.0,431.86863713,2046.0,15824.0,41685.0,740,1.1338738348000001,28.0,6032.0,1399.4019231,8790.0,6298.0,(0740) Cyprus,7944.0
